id,Age,Gender,Education,SES,FO,MO,FI,FS,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Smokernonsmoker,PARQF01_R,PARQF02,PARQF03_R,PARQF04,PARQF05,PARQF06,PARQF07,PARQF08,PARQF09_R,PARQF10,PARQF11,PARQF12_R,PARQF13_R,PARQF14,PARQF15,PARQF16,PARQF017_R,PARQF18,PARQF19_R,PARQF20,PARQF21,PARQF22_R,PARQF23,PARQF24_R,PARQM01_R,PARQM02,PARQM03_R,PARQM04,PARQM05,PARQM06,PARQM07,PARQM08,PARQM09_R,PARQM10,PARQM11,PARQM12_R,PARQM13_R,PARQM14,PARQM15,PARQM16,PARQM17_R,PARQM18,PARQM19_R,PARQM20,PARQM21,PARQM22_R,PARQM23,PARQM24_R,PAQ1,PAQ2,PAQ3,PAQ4,PAQ5,PAQ6,PAQ7,PAQ8,PAQ9,PAQ10_R,PAQ11_R,PAQ12,PAQ13,PAQ14_R,PAQ15,PAQ16_R,PAQ17,PAQ18,PAQ19_R,PAQ20_R,PAQ21,PAQ22,PAQ23,PAQ24_R,PAQ25_R,PAQ26,PAQ27,PAQ28_R,PAQ29,PAQ30,PAQ31,PAQ32,PAQ33_R,PAQ34,PAQ35,PAQ36,PAQ37,PAQ38_R,PAQ39_R,PAQ40,PAQ41_R,PAQ42_R,PPQ1,PPQ2,PPQ3,PPQ4,PPQ5,PPQ6,PPQ7,PPQ8,PPQ9,PPQ10,PPQ11,PPQ12,PPQ13,PPQ14,PPQ15,PPQ16,PPQ17,PPQ18,PPQ19,PPQ20,PPQ21,PPQ22,PPQ23,PPQ24,PPQ25,PARQFatherTotal,PARQMotherTotal,PeerPressureTotal,PersonalityTotal,PRE_1,PGR_1
249,1,0,1,1,0,0,2,0,1,1,1,1,1,1,7,8,0,2,3,4,1,3,3,3,2,4,2,2,3,4,3,2,2,3,1,4,3,3,4,1,4,2,2,3,2,2,3,1,1,2,1,1,4,2,1,2,2,4,2,1,4,3,3,2,3,3,3,2,4,4,2,2,3,3,1,2,4,4,3,4,1,1,4,1,2,1,4,2,4,4,4,4,2,2,2,2,1,1,1,2,1,1,2,2,2,3,4,4,4,5,3,1,2,3,5,1,4,3,5,1,2,5,2,1,5,2,3,3,2,3,4,2,59,52,75,104,.511796102689394,1
250,2,0,2,1,2,0,2,0,1,1,0,1,1,1,7,8,0,1,2,2,1,1,1,2,1,2,3,1,4,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,4,4,2,1,3,2,1,1,4,4,2,2,2,4,4,1,1,2,2,1,4,2,4,3,1,3,4,2,2,1,3,3,2,1,1,3,4,2,4,1,2,3,2,4,3,2,2,2,2,4,4,4,2,2,4,1,3,3,2,1,1,3,4,2,33,23,63,102,.0387981725306657,0
251,1,0,2,1,0,0,2,1,1,1,0,1,1,1,7,8,0,1,3,3,3,1,1,3,2,2,1,3,3,1,3,2,4,2,2,3,3,2,1,1,1,1,3,3,4,3,1,2,4,2,1,2,2,1,2,3,4,3,4,3,3,1,1,2,2,2,1,3,4,3,2,3,1,4,3,2,2,4,3,1,2,2,4,3,1,2,4,1,3,1,2,3,1,2,4,2,3,3,1,4,2,3,3,1,2,1,2,2,4,2,1,5,2,3,4,1,2,3,4,2,4,2,5,3,1,3,4,5,4,3,5,5,47,55,79,100,.0678809417591979,0
252,1,0,2,1,1,0,1,0,1,1,1,1,1,1,7,8,0,2,1,4,1,3,1,1,1,4,1,1,4,4,1,1,1,2,1,2,1,1,4,1,2,1,1,2,1,4,1,3,1,3,1,1,4,3,1,1,1,4,1,2,2,1,2,1,2,1,1,3,4,4,3,3,1,3,4,2,3,1,2,1,2,3,1,4,2,3,1,3,2,2,3,1,4,1,1,1,3,2,1,1,1,1,4,2,3,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,1,4,2,2,2,3,3,3,4,2,2,40,41,75,92,.0204065230653758,0
253,1,0,1,1,4,0,3,0,1,1,0,1,1,1,7,8,0,1,1,1,1,4,1,1,1,1,1,1,1,1,3,1,3,1,2,1,4,3,1,3,1,1,1,1,2,4,1,1,1,4,1,1,4,1,1,1,4,1,4,1,3,3,1,3,1,1,4,4,4,4,4,4,1,4,1,1,4,1,4,1,1,2,4,1,1,4,4,1,1,4,4,1,4,1,4,4,4,1,2,4,4,4,4,4,4,1,4,2,1,1,1,5,1,3,4,1,1,1,4,1,2,3,1,3,1,2,2,1,1,1,2,1,37,45,46,119,.0197086787019299,0
254,1,0,2,0,4,0,0,0,1,1,1,1,1,1,7,8,0,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,4,4,1,4,1,1,4,1,1,1,1,1,1,1,1,4,4,1,1,1,4,1,1,4,4,4,3,1,1,3,1,4,4,4,1,4,2,4,4,4,1,4,4,1,4,4,4,1,4,1,4,4,1,1,1,4,4,4,4,1,1,4,4,4,1,1,1,4,4,1,4,4,1,2,3,2,4,2,5,2,4,2,3,3,1,5,1,5,5,1,3,2,4,1,4,5,2,1,40,45,72,121,.272637165416711,0
255,1,0,1,1,0,0,3,0,1,1,1,1,1,1,7,8,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1,4,4,4,3,4,4,1,4,4,4,4,1,1,2,1,4,4,1,4,1,4,1,4,4,4,1,1,1,4,4,1,1,4,1,1,1,1,4,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,31,29,30,105,.00151395223636368,0
263,0,0,2,1,2,0,2,0,1,1,0,1,1,1,7,8,0,2,4,2,3,2,3,1,1,3,3,1,3,2,3,1,3,2,3,3,4,1,4,2,3,3,3,1,4,4,3,4,2,4,4,4,1,1,4,3,3,4,3,4,4,4,3,4,4,2,1,3,3,3,2,3,2,2,2,2,2,3,3,1,2,2,2,4,3,3,1,2,1,3,4,2,3,1,3,3,3,2,3,2,2,1,2,3,3,2,3,1,1,1,2,1,3,3,1,1,1,1,2,3,4,2,1,1,1,2,2,2,2,2,2,4,56,74,46,99,.00369531058118554,0
264,1,0,1,1,0,0,2,1,1,1,0,1,1,1,7,8,0,1,1,1,3,1,1,1,1,2,3,1,4,2,1,2,1,2,4,1,4,4,1,3,1,2,1,1,3,2,1,1,1,2,3,3,3,1,2,3,3,1,3,2,2,3,1,3,2,1,2,4,1,4,3,4,1,3,4,2,3,4,1,1,2,4,3,2,2,1,3,3,2,2,4,2,4,1,3,4,3,2,3,1,3,3,3,2,4,4,2,2,1,2,3,4,4,3,1,1,2,2,4,2,2,2,3,2,3,3,2,3,2,3,3,2,43,48,61,110,.0498086976412684,0
265,1,0,2,1,0,0,2,1,1,1,0,0,1,1,7,7,0,2,3,1,1,1,1,1,1,1,3,1,1,1,2,2,3,1,3,1,3,2,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,4,3,1,3,1,1,1,1,3,1,1,4,4,3,2,2,1,3,1,3,2,1,2,4,1,3,4,4,2,2,2,1,4,1,4,3,3,1,3,2,4,4,2,2,3,3,4,2,1,4,2,1,4,4,3,4,2,4,1,5,5,3,4,5,4,4,4,5,5,2,3,1,1,4,4,2,3,37,34,86,105,.21790418839403,0
