StartDate;EndDate;Status;Progress;Duration__in_seconds_;Finished;RecordedDate;DistributionChannel;UserLanguage;Q_Informed_Consent;Age;Gender;Nationality;Nationality_3_TEXT;Profession;Education;Covid_19_3;Covid_19_4;Covid_19_5;Manip_checks_power;man_check_guilt;guilt_likelihood_1;guilt_likelihood_2;Recidivism_1;Recidivism_2;Recidivism_3;Motives_Punishment_1;Motives_Punishment_2;Motives_Punishment_3;Motives_Punishment_4;Motives_Punishment_5;Motives_Punishment_6;Motives_Punishment_7;Motives_Punishment_8;Motives_Punishment_9;Motives_Punishment_10;Motives_Punishment_11;Motives_Punishment_12;Motives_Punishment_13;Motives_Punishment_14;Motives_Punishment_15;Motives_Punishment_16;tic
9/1/2020 6:47:01;9/1/2020 6:48:55;0;100;113;1;9/1/2020 6:48:55;anonymous;EN-GB;1;60;1;3;Irish;4;1;7;2;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5678719c6bcb2554a1cf0182d2562f4e
9/1/2020 6:53:03;9/1/2020 7:02:13;0;100;550;1;9/1/2020 7:02:14;anonymous;EN-GB;1;53;2;1; ;4;1;7;8;8; ;2;5;4;4;2;3;5;6;6;7;6;5;3;4;6;6;5;5;5;7;7;5;02306c68f6fb2208079259e800e3c2ee
9/1/2020 7:21:50;9/1/2020 7:26:21;0;100;271;1;9/1/2020 7:26:21;anonymous;EN-GB;1;78;2;1; ;2;5;8;1;5;1;2;6;6;6;6;6;6;7;6;6;7;6;6;6;6;7;2;2;6;6;1;6;4f3c82b70c4c41abf473980f677dbebf
9/1/2020 7:24:27;9/1/2020 7:27:47;0;100;199;1;9/1/2020 7:27:47;anonymous;EN-GB;1;64;1;1; ;2;1;9;0;7;1;2;4;4;4;4;4;6;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;c05fc6b4d385b089ca50df2b7052d703
9/1/2020 7:41:17;9/1/2020 7:45:55;0;100;278;1;9/1/2020 7:45:56;anonymous;EN-GB;1;71;2;1; ;2;5;9;0;0;2;2;4;4;3;3;4;6;4;4;6;4;5;4;7;6;5;6;4;4;7;7;4;dfe315d2abfe537e23ae9a84aab84da6
9/1/2020 7:46:16;9/1/2020 7:50:19;0;100;242;1;9/1/2020 7:50:19;anonymous;EN-GB;1;55;2;1; ;4;1;8;8;10;3;2;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;6;7;8578043400cdc7960df80e678c8c5195
9/1/2020 7:56:45;9/1/2020 8:02:54;0;100;369;1;9/1/2020 8:02:54;anonymous;EN-GB;1;66;2;1; ;4;1;1;1;0;3;2;4;4;5;5;5;6;7;7;5;6;6;6;6;6;6;6;5;6;6;3;7;d04b6ead2ba3d3596d9db5f57db2984c
9/1/2020 8:16:11;9/1/2020 8:17:57;0;100;106;1;9/1/2020 8:17:57;anonymous;EN-GB;1;61;2;1; ;4;1;7;8;8;3;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;8a8c4440188cecf48e73be7ab336dde8
9/1/2020 8:10:54;9/1/2020 8:18:40;0;100;465;1;9/1/2020 8:18:40;anonymous;EN-GB;1;76;1;1; ;2;1;8;0;5;2;2;3;1;4;4;4;4;1;4;7;4;4;7;7;7;7;7;7;1;1;4;1;18298cbb3b3fafee8dd93a370139735b
9/1/2020 8:34:56;9/1/2020 8:35:27;0;100;30;1;9/1/2020 8:35:27;anonymous;EN-GB;1;38;1;3;Mexican;4;2;8;3;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;ee9c86bb99f97c84ad4215bf34032e2b
9/1/2020 8:58:17;9/1/2020 9:04:17;0;100;360;1;9/1/2020 9:04:18;anonymous;EN-GB;1;61;2;1; ;4;1;0;0;0;2;2;4;6;5;6;6;7;7;6;4;6;6;7;7;4;7;4;6;5;4;5;6;e8cbd01c6b8b1e9a496e5d97e3833a6b
9/1/2020 8:14:37;9/1/2020 8:16:03;0;63;86;0;9/1/2020 9:14:41;anonymous;EN-GB;1;61;2;1; ;4;5;5;10;10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;8a8c4440188cecf48e73be7ab336dde8
9/1/2020 8:34:21;9/1/2020 8:34:35;0;11;13;0;9/1/2020 9:34:22;anonymous;EN-GB;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;ee9c86bb99f97c84ad4215bf34032e2b
9/1/2020 9:33:22;9/1/2020 9:37:41;0;100;258;1;9/1/2020 9:37:41;anonymous;EN-GB;1;68;1;1; ;2;2;9;1;3;1;2;3;3;3;3;3;5;5;5;4;4;4;5;7;5;7;7;7;5;5;7;5;c7237105295b0c585f89ede474801878
9/1/2020 9:34:42;9/1/2020 9:44:21;0;100;579;1;9/1/2020 9:44:21;anonymous;EN-GB;1;57;1;1; ;4;1;9;10;7;2;2;3;1;4;3;3;3;3;3;6;6;3;5;7;5;3;6;7;2;2;7;3;851958fc57d57e609d3aeaa7a4487a70
9/1/2020 9:56:19;9/1/2020 10:05:06;0;100;526;1;9/1/2020 10:05:06;anonymous;EN-GB;1;58;1;1; ;4;1;7;8;7;1;2;6;6;7;7;7;3;7;6;6;6;6;6;7;6;7;3;2;6;7;3;7;45e74ea6254f31b9dab317dc1207a596
9/1/2020 10:33:23;9/1/2020 10:35:42;0;100;138;1;9/1/2020 10:35:42;anonymous;EN-GB;1;21;1;1; ;1;2;8;6;8;1;3;4;4;3;5;5;5;5;4;5;5;6;5;5;4;4;3;5;5;5;5;5;a51555ced438b750da4b33fd9ea93020
9/1/2020 10:32:54;9/1/2020 10:33:20;0;63;26;0;9/1/2020 11:32:55;anonymous;EN-GB;1;21;1;1; ;1;2;8;7;9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;a51555ced438b750da4b33fd9ea93020
9/2/2020 2:30:03;9/2/2020 2:35:44;0;100;341;1;9/2/2020 2:35:45;anonymous;EN-GB;1;58;2;1; ;2;1;10;0;1;3;2;4;5;4;4;4;5;5;4;7;7;3;7;2;7;4;6;4;2;5;6;5;9e619f9ef12c7a2f463275e24ca66e66
9/2/2020 2:34:32;9/2/2020 2:38:01;0;100;209;1;9/2/2020 2:38:01;anonymous;EN-GB;1;28;1;1; ;4;1;2;2;2;3;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;8add47917ec37e183097fb5266c3e800
9/2/2020 2:39:24;9/2/2020 2:40:09;0;100;45;1;9/2/2020 2:40:09;anonymous;EN-GB;1;45;2;1; ;3;3;5;5;4;1;2;3;4;4;3;4;3;3;1;3;3;3;4;3;4;3;4;4;3;3;4;4;281d5a96ea1d499bc2e8f4e1596f68ac
9/2/2020 2:37:11;9/2/2020 2:41:49;0;100;277;1;9/2/2020 2:41:49;anonymous;EN-GB;1;72;1;1; ;2;1;8;1;1;1;2;5;6;4;5;5;7;7;5;6;6;5;7;6;7;7;6;6;5;5;6;7;1c750ae33ff41a7154939a0c802f984e
9/2/2020 2:44:11;9/2/2020 2:46:58;0;100;167;1;9/2/2020 2:46:58;anonymous;EN-GB;1;65;2;1; ;2;1;8;0;0;2;2;4;4;4;4;4;6;4;4;4;4;4;4;6;4;4;4;5;4;4;4;4;00151cb811dd2a2dcef7058a8aac8d9c
9/2/2020 2:45:16;9/2/2020 2:48:27;0;100;190;1;9/2/2020 2:48:27;anonymous;EN-GB;1;55;2;1; ;4;5;8;6;6;1;2;4;4;4;4;4;4;4;4;4;4;4;4;4;5;3;6;3;4;3;5;3;a01d8d8a20c627a00e783c587ff559f7
9/2/2020 2:58:52;9/2/2020 3:02:27;0;100;215;1;9/2/2020 3:02:28;anonymous;EN-GB;1;76;1;1; ;2;1;10;0;8;2;2;4;4;1;1;1;6;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;9a3a20e81fb5c9401e6bf6e14d83ed2e
9/2/2020 3:04:31;9/2/2020 3:06:26;0;100;115;1;9/2/2020 3:06:27;anonymous;EN-GB;1;18;1;1; ;1;1;5;3;0;2;2;4;4;3;3;3;4;3;4;6;3;3;4;4;6;7;3;4;3;4;4;4;482b73a966d623ae3b66087a4d51f72a
9/2/2020 3:03:22;9/2/2020 3:08:20;0;100;297;1;9/2/2020 3:08:20;anonymous;EN-GB;1;74;2;1; ;2;5;6;1;2;3;2;4;4;4;4;4;5;5;5;4;4;4;5;5;4;5;4;5;5;5;5;5;de2425770e0747727920c22a28d46114
9/2/2020 3:14:18;9/2/2020 3:16:42;0;100;144;1;9/2/2020 3:16:42;anonymous;EN-GB;1;46;2;1; ;4;2;7;10;10;1;2;2;3;1;2;1;5;6;2;7;3;1;7;2;7;7;5;6;1;5;6;7;f13f1fc2cdca3abf76aba4d8d65ddb64
9/2/2020 3:24:11;9/2/2020 3:25:35;0;100;84;1;9/2/2020 3:25:35;anonymous;EN-GB;1;59;1;3;Irish;2;1;7;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;f30594ca1af96b162282ea036167a3ae
9/2/2020 3:22:49;9/2/2020 3:26:41;0;100;231;1;9/2/2020 3:26:41;anonymous;EN-GB;1;37;1;1; ;4;5;4;1;6;1;2;4;4;4;4;3;3;4;3;4;4;3;5;4;5;4;6;6;3;4;6;4;b7db99e03b4b064efbf8f2a447154eb0
9/2/2020 3:42:29;9/2/2020 3:45:14;0;100;165;1;9/2/2020 3:45:14;anonymous;EN-GB;1;40;1;3;Dutch;4;3;9;8;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;a80774b72e9614fd44807900ddcb9e98
9/2/2020 2:46:00;9/2/2020 2:47:29;0;47;89;0;9/2/2020 3:46:02;anonymous;EN-GB;1;48;2;1; ;2;5;10;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;b72818c56912a6a1d908bb3630c7b7ed
9/2/2020 3:54:37;9/2/2020 3:57:59;0;100;201;1;9/2/2020 3:57:59;anonymous;EN-GB;1;64;2;1; ;2;1;4;0;0;2;2;4;4;4;4;4;4;2;4;5;4;4;6;4;6;4;4;3;4;2;3;2;5b66c794de90a3af0429f408ca8e1a93
9/2/2020 3:57:01;9/2/2020 4:01:43;0;100;281;1;9/2/2020 4:01:43;anonymous;EN-GB;1;62;1;1; ;2;5;10;6;2;1;2;4;5;6;7;7;7;1;7;7;7;6;7;7;7;7;7;6;7;7;7;7;a9a4e2aa58e83f1d6d852ec21e54680a
9/2/2020 3:03:38;9/2/2020 3:04:24;0;63;46;0;9/2/2020 4:04:02;anonymous;EN-GB;1;18;1;1; ;1;1;4;3;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;482b73a966d623ae3b66087a4d51f72a
9/2/2020 4:05:30;9/2/2020 4:10:23;0;100;292;1;9/2/2020 4:10:23;anonymous;EN-GB;1;41;2;1; ;3;2;7;8;4;1;2;5;4;5;5;5;5;4;4;6;6;4;5;5;6;5;5;5;4;3;5;3;606a7610a9221841b8c65cfae09ae4be
9/2/2020 4:18:28;9/2/2020 4:22:32;0;100;243;1;9/2/2020 4:22:32;anonymous;EN-GB;1;62;1;1; ;2;5;7;1;1;2;2;4;1;4;4;4;7;6;4;7;7;4;7;4;7;4;7;7;4;4;7;4;8eb2f808947273b83ca2bf5bcbd319fd
9/2/2020 4:37:19;9/2/2020 4:39:58;0;100;158;1;9/2/2020 4:39:58;anonymous;EN-GB;1;60;1;1; ;2;1;10;3;8;1;2;3;1;1;2;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;ccd4cf0a8bba33d68139fb3d7b7df21e
9/2/2020 4:39:10;9/2/2020 4:46:57;0;100;467;1;9/2/2020 4:46:57;anonymous;EN-GB;1;71;2;1; ;2;5;5;0;5;1;2;6;6;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;22d04f241c2450f4cd0df64192f2214b
9/2/2020 4:57:10;9/2/2020 5:01:27;0;100;256;1;9/2/2020 5:01:27;anonymous;EN-GB;1;42;1;1; ;2;1;8;0;7;3;2;4;4;4;4;4;5;7;5;6;6;5;7;7;7;7;6;5;5;7;5;7;07de252767c759b7d450c8ca77500e61
9/2/2020 5:07:29;9/2/2020 5:10:17;0;100;167;1;9/2/2020 5:10:17;anonymous;EN-GB;1;54;1;1; ;2;1;7;0;4;1;2;4;4;4;4;4;5;5;5;4;5;4;5;4;4;5;2;2;5;5;4;5;20df4fe1dc333e364d804e334243b429
9/2/2020 5:11:37;9/2/2020 5:16:31;0;100;293;1;9/2/2020 5:16:31;anonymous;EN-GB;1;68;2;1; ;2;1;5;0;0;1;2;5;4;5;5;5;7;3;5;5;6;5;6;6;6;6;3;5;6;2;6;2;65dd1a4ad7aca8d60ecb5542cb1ad69f
9/2/2020 5:17:17;9/2/2020 5:20:33;0;100;196;1;9/2/2020 5:20:34;anonymous;EN-GB;1;77;1;1; ;2;1;9;1;1;2;2;4;4;3;4;4;7;4;3;7;7;3;6;7;5;7;1;1;4;4;5;1;c9cf3c69f88d1c562cc61b07e56b0a10
9/2/2020 5:29:30;9/2/2020 5:32:28;0;100;177;1;9/2/2020 5:32:28;anonymous;EN-GB;1;52;1;1; ;4;1;8;7;8;1;2;4;4;4;4;4;5;4;4;4;6;4;6;6;6;4;3;5;5;5;5;5;8c87bdc67ef58fc0e006ec91b5015aa4
9/2/2020 5:26:55;9/2/2020 5:33:00;0;100;365;1;9/2/2020 5:33:01;anonymous;EN-GB;1;67;2;1; ;2;5;10;4;4;2;2;2;2;1;1;1;4;6;1;7;7;1;7;7;7;7;7;7;1;7;7;7;28f214a052e6e25ddfdf1320c09ad2f9
9/2/2020 5:29:28;9/2/2020 5:34:51;0;100;323;1;9/2/2020 5:34:51;anonymous;EN-GB;1;32;1;1; ;4;1;5;6;5;3;2;7;7;7;7;7;7;7;7;7;7;7;5;7;5;7;3;3;7;7;3;7;b553171f54659ec6060fb90067c8e78f
9/2/2020 4:35:21;9/2/2020 4:37:11;0;63;109;0;9/2/2020 5:35:30;anonymous;EN-GB;1;60;1;1; ;2;1;10;2;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;ccd4cf0a8bba33d68139fb3d7b7df21e
9/2/2020 5:39:57;9/2/2020 5:43:12;0;100;194;1;9/2/2020 5:43:12;anonymous;EN-GB;1;35;1;1; ;2;2;10;10;10;2;2;4;3;3;3;4;5;5;3;6;7;2;5;5;5;4;7;7;2;3;7;2;33414709fa8fb005cd76224aea1853b6
9/2/2020 4:52:23;9/2/2020 4:55:14;0;84;171;0;9/2/2020 5:52:37;anonymous;EN-GB;1;73;2;1; ;2;1;8;1;8;2;2;4;2;3;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;94ad430f4f6c3f2c836ab14b71168f0b
9/2/2020 5:06:21;9/2/2020 5:08:32;0;84;131;0;9/2/2020 6:06:37;anonymous;EN-GB;1;48;1;1; ;4;5;8;9;9;2;2;4;4;2;2;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;b647bbf94a66d092dcd585ce1cc0cbc5
9/2/2020 6:23:49;9/2/2020 6:27:19;0;100;209;1;9/2/2020 6:27:19;anonymous;EN-GB;1;75;1;1; ;2;2;10;0;0;1;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;d6d979999f73b59bff496f2bec0b24f0
9/2/2020 6:56:18;9/2/2020 7:00:24;0;100;246;1;9/2/2020 7:00:24;anonymous;EN-GB;1;75;2;1; ;2;1;10;0;7;2;2;5;2;3;1;2;4;1;6;4;5;5;7;4;7;5;6;6;5;4;7;3;5955357262b02bf44eee29b43d30f4d3
9/2/2020 7:03:16;9/2/2020 7:07:25;0;100;248;1;9/2/2020 7:07:25;anonymous;EN-GB;1;73;2;1; ;3;1;8;6;8;1;2;4;4;2;2;2;4;4;3;3;3;3;3;4;4;4;4;4;3;3;3;3;8866fe369969017a1e63d0d367775e92
9/2/2020 7:15:50;9/2/2020 7:18:50;0;100;180;1;9/2/2020 7:18:51;anonymous;EN-GB;1;53;1;1; ;4;1;9;9;7;1;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;d130a44b710ca06508f377b76cb8798c
9/2/2020 7:47:39;9/2/2020 7:51:07;0;100;208;1;9/2/2020 7:51:07;anonymous;EN-GB;1;56;2;1; ;4;2;6;9;8;1;2;4;3;4;4;3;5;5;5;5;6;4;6;6;6;5;3;3;6;5;5;5;d5e14d11892921a68a0f80fa1f26b138
9/2/2020 7:48:13;9/2/2020 7:51:15;0;100;181;1;9/2/2020 7:51:15;anonymous;EN-GB;1;72;1;1; ;2;2;2;0;1;1;2;5;5;1;1;1;3;2;2;6;6;2;6;1;6;1;5;5;2;2;5;2;4f45f01f753169ce86439fb1fe040645
9/2/2020 7:46:27;9/2/2020 7:52:14;0;100;346;1;9/2/2020 7:52:14;anonymous;EN-GB;1;51;1;1; ;4;1;8;8;8;1;3;6;6;6;6;6;7;7;7;7;7;7;7;7;7;7;1;1;7;1;7;1;a1f67b5abd216102654a1a528d0a3b6b
9/2/2020 7:47:15;9/2/2020 7:53:04;0;100;348;1;9/2/2020 7:53:04;anonymous;EN-GB;1;51;2;1; ;3;1;8;8;8;2;2;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;2;2;5;5;3;5;d23354669a2bc5985bcf645a25a23f2d
9/2/2020 7:50:10;9/2/2020 7:53:42;0;100;212;1;9/2/2020 7:53:43;anonymous;EN-GB;1;65;2;1; ;2;1;5;0;6;2;2;4;2;4;4;4;2;4;4;5;5;4;5;5;5;4;3;3;4;5;5;5;96ba26c9229393a1b59fa3c7ab8429aa
9/2/2020 7:49:35;9/2/2020 7:55:28;0;100;353;1;9/2/2020 7:55:28;anonymous;EN-GB;1;74;2;1; ;3;1;8;5;5;2;2;1;1;1;1;1;1;1;1;7;1;1;7;1;7;1;1;1;1;1;1;1;4046588b01ae22c72d94b6682467b064
9/2/2020 7:55:41;9/2/2020 7:58:28;0;100;166;1;9/2/2020 7:58:28;anonymous;EN-GB;1;52;1;1; ;2;1;9;9;5;3;2;4;2;4;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;b281ee3ad5e9f6b9a711fcb07f28dd2d
9/2/2020 7:56:18;9/2/2020 8:00:04;0;100;225;1;9/2/2020 8:00:04;anonymous;EN-GB;1;62;1;1; ;3;2;8;9;5;1;2;4;1;1;2;1;5;4;3;3;7;4;5;5;5;4;3;3;4;4;4;4;7c9f40905e93d42a98bebcabf5f4f75d
9/2/2020 7:52:18;9/2/2020 8:01:54;0;100;576;1;9/2/2020 8:01:55;anonymous;EN-GB;1;33;1;1; ;4;1;5;5;5;3;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;c2e5ca7bdb93913cf660b3f10c8b3639
9/2/2020 7:52:57;9/2/2020 8:03:12;0;100;614;1;9/2/2020 8:03:12;anonymous;EN-GB;1;44;2;1; ;4;3;8;3;6;1;2;6;5;4;5;4;5;5;5;7;7;5;7;7;7;6;4;4;5;5;5;6;160e3feac3a082081940a821be6774df
9/2/2020 8:00:25;9/2/2020 8:03:17;0;100;171;1;9/2/2020 8:03:17;anonymous;EN-GB;1;53;2;1; ;3;2;4;6;5;1;2;5;5;5;5;5;6;5;4;7;6;4;5;6;6;6;7;7;4;3;7;3;f4df7f913fbbd2e8d496afc60b107d60
9/2/2020 7:56:53;9/2/2020 8:04:54;0;100;481;1;9/2/2020 8:04:54;anonymous;EN-GB;1;52;1;1; ;4;5;8;1;10;1;2;6;6;7;7;7;7;7;6;7;7;6;7;7;7;7;1;1;6;6;3;7;26a4b8ee35e3fadf9e3954dace46b827
9/2/2020 7:56:42;9/2/2020 8:08:39;0;100;717;1;9/2/2020 8:08:40;anonymous;EN-GB;1;57;1;1; ;2;1;0;0;0;2;2;4;2;2;1;2;4;4;1;5;5;3;6;2;6;5;7;7;2;4;7;3;3366681bcefdb1aa3dac7f06fedf3030
9/2/2020 8:05:54;9/2/2020 8:09:40;0;100;225;1;9/2/2020 8:09:40;anonymous;EN-GB;1;64;1;1; ;2;5;8;0;5;1;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;328d8f2879f5cda50704e5f398d8d3c6
9/2/2020 8:06:30;9/2/2020 8:09:43;0;100;193;1;9/2/2020 8:09:44;anonymous;EN-GB;1;74;2;1; ;2;1;9;0;5;1;2;4;4;4;4;4;4;4;4;4;5;5;5;5;4;5;5;5;5;5;5;5;f4409601db26fc3676c0404ef70a1b40
9/2/2020 8:04:19;9/2/2020 8:10:13;0;100;354;1;9/2/2020 8:10:13;anonymous;EN-GB;1;69;1;1; ;4;1;7;8;5;2;2;3;2;3;2;2;2;2;3;2;4;2;4;3;5;5;5;5;2;2;5;2;6ed93245c639c15179baf74d59fbbe3a
9/2/2020 8:09:50;9/2/2020 8:11:44;0;100;113;1;9/2/2020 8:11:44;anonymous;EN-GB;1;40;1;1; ;2;1;10;5;5;3;2;4;4;5;4;4;4;4;4;4;5;4;4;5;5;5;5;4;4;4;4;4;67d85ac26a810b5b397b6487f96398bc
